"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"203",11,"Los Angeles Chargers",LAC,"128","0","0","0","0","0","0","0","0"
"204",11,"Wil Lutz",DEN,"160","0","0","0","0","0","0","0","0"
"205",11,"Seattle Seahawks",SEA,"136","0","0","0","0","0","0","0","0"
"206",11,"Chase McLaughlin",TB,"164","0","0","0","0","0","0","0","0"
"207",11,"Alec Pierce",IND,"161.4","0","0","37","824","7","0","0","0"
"208",11,"Green Bay Packers",GB,"148","0","0","0","0","0","0","0","0"
"209",11,"Anthony Richardson Sr.",IND,"175.4","1814","8","0","0","0","86","499","6"
"210",11,"Darius Slayton",NYG,"110","0","0","39","573","2","2","17","0"
"211",11,"Mason Taylor",NYJ,"0","0","0","0","0","0","0","0","0"
"212",11,"Harrison Butker",KC,"100","0","0","0","0","0","0","0","0"
"213",11,"Justice Hill",BAL,"127.1","0","0","42","383","3","47","228","1"
"214",11,"Evan McPherson",CIN,"94","0","0","0","0","0","0","0","0"
"215",11,"Adonai Mitchell",IND,"53.8","0","0","23","312","0","4","6","0"
"216",11,"New York Jets",NYJ,"95","0","0","0","0","0","0","0","0"
"217",11,"Tyler Bass",BUF,"146","0","0","0","0","0","0","0","0"
"218",12,"Dontayvion Wicks",GB,"110.5","0","0","39","415","5","0","0","0"
"219",12,"Jake Elliott",PHI,"141","0","0","0","0","0","0","0","0"
"220",12,"Kareem Hunt",KC,"155.4","0","0","23","176","0","200","728","7"
"221",12,"Dalton Schultz",HOU,"118.2","0","0","53","532","2","0","0","0"
"222",12,"Jaylin Noel",HOU,"0","0","0","0","0","0","0","0","0"
"223",12,"Andrei Iosivas",CIN,"119.9","0","0","36","479","6","0","0","0"
"224",12,"Kendre Miller",NO,"29.1","0","0","5","33","0","39","148","1"
"225",12,"Calvin Austin III",PIT,"118.8","0","0","36","548","4","0","0","0"
"226",12,"San Francisco 49ers",SF,"84","0","0","0","0","0","0","0","0"
"227",12,"Diontae Johnson",CLE,"89.1","0","0","33","375","3","2","6","0"
"228",12,"Tyler Lockett",TEN,"121","0","0","49","600","2","0","0","0"
"229",12,"Will Shipley",PHI,"15.7","0","0","4","35","0","30","82","0"
"230",12,"Russell Wilson",NYG,"177.8","2482","16","0","0","0","43","155","2"
"231",12,"Miles Sanders",DAL,"77.3","0","0","24","148","1","55","205","2"
"232",12,"Jason Sanders",MIA,"166","0","0","0","0","0","0","0","0"
"233",12,"Pat Bryant",DEN,"0","0","0","0","0","0","0","0","0"
"234",12,"Kyle Monangai",CHI,"0","0","0","0","0","0","0","0","0"
"235",12,"Elic Ayomanor",TEN,"0","0","0","0","0","0","0","0","0"
"236",12,"Younghoe Koo",ATL,"120","0","0","0","0","0","0","0","0"
"237",12,"Ja'Tavion Sanders",CAR,"73.2","0","0","33","342","1","0","0","0"
"238",12,"Devaughn Vele",DEN,"106.5","0","0","41","475","3","0","0","0"
"239",12,"Jaleel McLaughlin",DEN,"97.2","0","0","24","76","2","113","496","1"
"240",12,"Woody Marks",HOU,"0","0","0","0","0","0","0","0","0"
"241",12,"Juwan Johnson",NO,"122.8","0","0","50","548","3","0","0","0"
"242",12,"Elijah Arroyo",SEA,"0","0","0","0","0","0","0","0","0"
"243",12,"DJ Giddens",IND,"0","0","0","0","0","0","0","0","0"
"244",12,"Dallas Cowboys",DAL,"111","0","0","0","0","0","0","0","0"
"245",12,"Keaton Mitchell",BAL,"6.8","0","0","1","28","0","15","30","0"
"246",12,"Dyami Brown",JAC,"67.4","0","0","30","308","1","3","26","0"
"247",12,"Cole Kmet",CHI,"120.4","0","0","47","474","4","0","0","0"
"248",12,"Roman Wilson",PIT,"0","0","0","0","0","0","0","0","0"
"249",12,"Elijah Moore",BUF,"120.9","0","0","61","538","1","1","1","0"
"250",12,"Jalen Royals",KC,"0","0","0","0","0","0","0","0","0"
"251",12,"Brandin Cooks",NO,"69.6","0","0","26","259","3","3","-3","0"
"252",12,"Matt Gay",WAS,"139","0","0","0","0","0","0","0","0"
"253",12,"Jalen Tolbert",DAL,"152","0","0","49","610","7","0","0","0"
"254",12,"Devin Neal",NO,"0","0","0","0","0","0","0","0","0"
"255",12,"Raheem Mostert",LV,"70.9","0","0","19","161","0","85","278","2"
"256",12,"Tahj Brooks",CIN,"0","0","0","0","0","0","0","0","0"
"257",12,"Tampa Bay Buccaneers",TB,"104","0","0","0","0","0","0","0","0"
